id_funcional,nome_completo,cpf,vencimento_reciclagem,certificacoes,soft_skills,perfil_comportamental,nota_performance,cep_base,escala_atual,ultimo_posto
VIG-10388,Dra. Isis Pastor,975.***.***-29,2027-05-06,"Transporte de Valores, Segurança Pessoal (VSPP)","Resolução de Conflitos, Pontualidade Extrema, Discrição, Liderança de Equipe",Demonstra facilidade em lidar com público diverso.,8.2,01202-001,12x36 Dia,da Rocha Siqueira - ME - Unidade 3
VIG-10389,Isaac da Paz,867.***.***-02,2026-02-28,"Grandes Eventos, Monitoramento de CFTV","Proatividade, Perfil Analítico","Focado e observador, antecipa riscos no perímetro.",9.9,05407-002,5x2 Comercial,Souza - Unidade 2
VIG-10390,Dra. Luna Pinto,803.***.***-50,2025-04-11,"Segurança Pessoal (VSPP), Transporte de Valores, Monitoramento de CFTV","Comunicação Assertiva, Liderança de Equipe, Atenção Concentrada, Proatividade, Resolução de Conflitos",Demonstra facilidade em lidar com público diverso.,7.3,01415-000,12x36 Dia,Moreira - Unidade 8
VIG-10391,Sra. Marina Silveira,906.***.***-76,2027-05-08,Monitoramento de CFTV,"Resolução de Conflitos, Liderança de Equipe, Comunicação Assertiva",Excelente pontualidade e assiduidade.,7.0,08410-000,12x36 Noite,Freitas Garcia - ME - Unidade 6
VIG-10392,Rafaela Aragão,036.***.***-40,2027-10-05,"Transporte de Valores, Grandes Eventos","Perfil Analítico, Trabalho sob Pressão",Excelente pontualidade e assiduidade.,9.8,01001-000,12x36 Noite,Rocha - Unidade 5
VIG-10393,Ágatha Barbosa,840.***.***-96,2027-06-15,Transporte de Valores,"Trabalho sob Pressão, Atenção Concentrada, Resolução de Conflitos",Profissional muito elogiado pelo cliente.,7.6,01202-001,12x36 Dia,Vargas - Unidade 9
VIG-10394,Heloísa Sousa,510.***.***-99,2027-10-14,"Grandes Eventos, Escolta Armada","Resolução de Conflitos, Comunicação Assertiva, Empatia, Atenção Concentrada, Discrição",Excelente pontualidade e assiduidade.,6.8,01202-001,12x36 Dia,Montenegro - EI - Unidade 1
VIG-10395,Stella Sousa,518.***.***-14,2026-06-27,"Transporte de Valores, Grandes Eventos","Empatia, Perfil Analítico, Atenção Concentrada","Focado e observador, antecipa riscos no perímetro.",9.2,04794-000,12x36 Noite,Farias - Unidade 9
VIG-10396,Ana Beatriz Monteiro,738.***.***-13,2025-05-09,Monitoramento de CFTV,"Comunicação Assertiva, Trabalho sob Pressão, Pontualidade Extrema, Liderança de Equipe, Discrição, Atenção Concentrada",Possui postura exemplar e uniforme sempre impecável.,8.1,01013-001,5x2 Comercial,Sampaio - Unidade 2
VIG-10397,Lucas Abreu,106.***.***-53,2026-10-16,"Transporte de Valores, Segurança Pessoal (VSPP), Monitoramento de CFTV","Liderança de Equipe, Comunicação Assertiva",Excelente pontualidade e assiduidade.,9.7,08410-000,12x36 Dia,Moraes - Unidade 3
VIG-10398,Zoe Santos,270.***.***-22,2025-11-17,"Monitoramento de CFTV, Transporte de Valores","Perfil Analítico, Trabalho sob Pressão, Discrição",Profissional muito elogiado pelo cliente.,6.9,01001-000,12x36 Dia,Vasconcelos - Unidade 5
VIG-10399,Marcos Vinicius Fernandes,326.***.***-33,2028-02-01,Transporte de Valores,"Discrição, Trabalho sob Pressão, Empatia, Proatividade, Resolução de Conflitos, Liderança de Equipe",Possui postura exemplar e uniforme sempre impecável.,9.5,04794-000,12x36 Dia,Silveira - Unidade 1
